path,filename,extension,size_bytes,lines,sha256,has_main,problem_url,possible_problem_id
README.md,README.md,md,6466,28,077428efc6764bf47920dd0eb15240090a3afc57247d5c769212bd600fe58c09,,,
templates/01分数规划/01分数规划——模板.cpp,01分数规划——模板.cpp,cpp,1917,69,9d98fd4227c6ebe87f1ff5565cf089fee77504be65f851cf53aee6c22a4e1f45,true,,
templates/01分数规划/01分数规划——模板4.cpp,01分数规划——模板4.cpp,cpp,2726,98,a5ab38f7c2205eb9bcc5bc68c2d5415eb0804c576494e6ff105473c3c347d82e,true,,
templates/01分数规划/01分数规划——模板5.cpp,01分数规划——模板5.cpp,cpp,3544,108,bc5e24a1d3905d7bf8f5b11e3f335359378e7f0e710bc034e6f00ade30fe6718,true,,
templates/01分数规划/01分数规划——结合最小生成树.cpp,01分数规划——结合最小生成树.cpp,cpp,3452,94,24e58ba499d9c99f47e464e2846f466c824bc105b82f60947078b4990e8a6fda,true,,
templates/01分数规划/01分数规划——部分参数有限制.cpp,01分数规划——部分参数有限制.cpp,cpp,2382,81,fe96b777ffeba0f690968006ed96ac428850915b8962f871a332a296e5e60b01,true,,
templates/AC自动机/AC自动机——01分数规划.cpp,AC自动机——01分数规划.cpp,cpp,3671,159,90ab0d1de99581d31299937bf2b5c38ecc33082cedb1c639320abe6aa473c340,true,,
templates/AC自动机/AC自动机——fail树.cpp,AC自动机——fail树.cpp,cpp,4981,188,21fba1d34f88d77c4a64ff94d2cca38ae2b93cbcd17c640297d359fff5b4c662,true,,
templates/AC自动机/AC自动机——fail树上差分.cpp,AC自动机——fail树上差分.cpp,cpp,4337,181,0de2c7bf6a385e1811efe7eedd0015adc951e9e1c7f65bd8424d41a044b8c4b2,true,,
templates/AC自动机/AC自动机——出现统计.cpp,AC自动机——出现统计.cpp,cpp,4029,180,189c4f83f2385d01dc0772a205b98f9d40b94329c47c6bba21e9c2ee2603c9dc,true,,
templates/AC自动机/AC自动机——完备状态.cpp,AC自动机——完备状态.cpp,cpp,2756,129,f04f3b525e625e60a088fcdf27f78ff4c7223cfc7bee2658b2e859d507394a04,true,,
templates/AC自动机/AC自动机——应用.cpp,AC自动机——应用.cpp,cpp,2147,83,a3c14dee6bfc2cfae552077810f4e032cf2e012dd19b739850eae3fa16eca886,true,,
templates/AC自动机/AC自动机——模板.cpp,AC自动机——模板.cpp,cpp,3563,126,e920fb4b9d8a0113b203bc33d4ccfaba57e08954be2cb772db79e4716b2a54f7,true,,
templates/AC自动机/AC自动机——综合应用.cpp,AC自动机——综合应用.cpp,cpp,2567,114,716358396257af783cf6dbf8220d55c5edcdb8d416ca6a3c6303672529711701,true,,
templates/AC自动机/AC自动机——警报标记.cpp,AC自动机——警报标记.cpp,cpp,5252,173,05e93eee71d72f21c198d5aa1fbf41b4ca348312b6883f831d33e62bb74b81c1,true,,
templates/AC自动机/基于AC自动机实现的文章词频检测.cpp,基于AC自动机实现的文章词频检测.cpp,cpp,3301,130,6973bfa779373e9116a43c4609e0f9a0d989c27422605598d70c3aa263145bc7,true,,
templates/CDQ分治/CDQ分治——三维偏序.cpp,CDQ分治——三维偏序.cpp,cpp,3805,139,d5d96a685679813f458c595f1182932f07c8612ad72d72bfc4db36afc987f366,true,,
templates/CDQ分治/CDQ分治——二维空间计数.cpp,CDQ分治——二维空间计数.cpp,cpp,3343,125,ed174ece1fefc4fef6ea2d85313ab62b941155ef2877db9a543d84d6fc706da5,true,,
